"Page not found.","Page not found."
"Thanks for contacting us with your comments and questions. We\'ll respond to you very soon.","Thanks for contacting us with your comments and questions. We\'ll respond to you very soon."
"We can\'t process your request right now. Sorry, that\'s all we know.","We can\'t process your request right now. Sorry, that\'s all we know."
"* Required Fields","* Required Fields"
"Write Us","راسلنا"
"Jot us a note and we’ll get back to you as quickly as possible.","سنقوم بالرد على ملاحضاتكم في اسرع وقت ممكن."
Name,الاسم
Email,الايميل
"Phone Number","رقم الهاتف"
"What’s on your mind?","ماذا يجول في خاطرك؟"
Submit,ارسال
"Name: %name","Name: %name"
"Email: %email","Email: %email"
"Phone Number: %telephone","Phone Number: %telephone"
"Comment: %comment","Comment: %comment"
"Contacts Section","Contacts Section"
Contacts,Contacts
"Contact Us","اتصل بنا"
"Enable Contact Us","Enable Contact Us"
"Email Options","Email Options"
"Send Emails To","Send Emails To"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
